""
"Year","GDP-UK &pound; billion","Population-UK million","Health Care-total &pound; billion",""
"1990","measuringworth.com/ukgdp","57.238","24.50","a"
"1991","measuringworth.com/ukgdp","57.439","27.50","a"
"1992","measuringworth.com/ukgdp","57.585","31.20","a"
"1993","measuringworth.com/ukgdp","57.714","35.02","i"
"1994","measuringworth.com/ukgdp","57.862","37.01","i"
"1995","measuringworth.com/ukgdp","58.025","40.49","i"
"1996","measuringworth.com/ukgdp","58.164","39.66","i"
"1997","measuringworth.com/ukgdp","58.314","41.34","i"
"1998","measuringworth.com/ukgdp","58.475","43.15","i"
"1999","measuringworth.com/ukgdp","58.684","47.02","a"
"2000","measuringworth.com/ukgdp","58.886","49.57","a"
"2001","measuringworth.com/ukgdp","59.113","54.34","a"
"2002","measuringworth.com/ukgdp","59.366","59.93","a"
"2003","measuringworth.com/ukgdp","59.637","66.20","a"
"2004","measuringworth.com/ukgdp","59.950","74.92","a"
"2005","measuringworth.com/ukgdp","60.413","82.93","a"
"2006","measuringworth.com/ukgdp","60.827","89.58","a"
"2007","measuringworth.com/ukgdp","61.319","94.69","a"
"2008","measuringworth.com/ukgdp","61.824","102.34","a"
"2009","measuringworth.com/ukgdp","62.261","108.75","a"
"2010","1545.5","62.760","116.92","a"
"2011","1607.5","63.285","119.83","a"
"2012","1650.9","63.705","121.25","a"
"2013","1709.9","64.106","124.30","a"
"2014","1782.2","64.597","129.39","a"
"2015","1857.7","65.110","134.05","a"
"2016","1913.9","65.648","138.50","a"
"2017","1991.2","66.040","142.59","a"
"2018","2064.4","66.466","147.34","a"
"2019","2131.7","66.867","152.94","e"
"2020","2200","67.255","162.04","g"

"Legend:"
" a - actual outturn"
" i - interpolated between actual reported values"
" e - estimate in HM Treasury hist budget"
" g - 'guesstimated' projection by ukpublicspending.co.uk"
"Data Sources for 1990:"
"GDP: ","www.measuringworth.org/ukgdp/","Measuring Worth - UK GDP",""
"Spending: ","webarchive.nationalarchives.gov.uk/20130814180755/http://www.archive.official-documents.co.uk/document/cm39/3901/contents.htm","Archived Public Expenditure Statistical Analysis 1998-99",""
"Debt:  ","obr.uk/data/","OBR Public Finances Databank",""
""
"Data Sources for 2020:"
"GDP: ","obr.uk/efo/economic-fiscal-outlook-march-2018/","OBR EFO supp. economy tables",""
"Spending: <a href="https://www.gov.uk/government/organisations/hm-treasury/series/public-expenditure-statistical-analyses-pesa","HM Treasury PESA",""
"Debt:  ","obr.uk/data/","OBR Public Finances Databank",""
""
